id,name,dim,type,human,ai,gap,detail,absgap
TMP_ORD_011,Dreams/visions as temporal distortion,temporal_structure,binary,15.0,15.0,0.0,'significant_dream_or_vision_time': human 15% vs AI 15%,0.0
TMP_ORD_008,Temporal Loop or Reset Pattern,temporal_structure,multi_select,1.0,1.0,0.0,'structure_as_infinite_or_unresolved_loop': human 1% vs AI 1%,0.0
TMP_ORD_009,Dominant Narrative Frequency Mode,temporal_structure,categorical,96.0,98.0,2.0,'singulative (events_told_once_as_they_occur)': human 96% vs AI 98%,2.0
TMP_DUR_021,Character aging and biographical scope,temporal_structure,categorical,3.0,1.0,-2.0,'multi_generational_or_system_level_history': human 3% vs AI 1%,2.0
TMP_DUR_018,Use of seasons and cyclical time as structuring devices,temporal_structure,scale,2.0,2.06,0.06,mean human 2.00 vs AI 2.06,0.06
TMP_DUR_019,Prevalence of time-of-day markers,temporal_structure,ordinal,15.0,13.0,-2.0,'2_rare_mentions_of_general_times_of_day': human 15% vs AI 13%,2.0
TMP_DUR_013,Presence of explicit ticking clock or deadline,temporal_structure,binary,70.0,67.0,-3.0,'no': human 70% vs AI 67%,3.0
AGENT_ID_001,Scope of named human agents,agents,categorical,35.0,16.0,-19.0,'7+': human 35% vs AI 16%,19.0
AGENT_ID_004,Types of non-human or collective agents,agents,multi_select,10.0,16.0,6.0,"'institutions/personified organizations (e.g., 'the Consortium', 'the Church')': human 10% vs AI 16%",6.0
AGENT_ID_005,Naming practice for the central character,agents,categorical,70.0,80.0,10.0,"'named personal name (e.g., 'Maria', 'Leon')': human 70% vs AI 80%",10.0
AGENT_ID_007,Opacity of central character at introduction,agents,categorical,74.0,83.0,9.0,"'transparent (name, role, and situation given immediately)': human 74% vs AI 83%",9.0
AGENT_ID_002,Secondary character density,agents,ordinal,46.0,61.0,15.0,'few (2–3)': human 46% vs AI 61%,15.0
AGENT_ID_003,Proportion of named vs. unnamed characters,agents,categorical,45.0,27.0,-18.0,'mix of proper names and role-descriptors across both major and minor characters': human 45% vs AI 27%,18.0
AGENT_ROLE_001,Primary functional role of the central character,agents,categorical,90.0,93.0,3.0,'active protagonist driving the main plot': human 90% vs AI 93%,3.0
AGENT_ROLE_002,Nature of principal antagonistic force,agents,multi_select,48.0,40.0,-9.0,'individual human antagonist(s)': human 48% vs AI 40%,9.0
AGENT_ROLE_003,Plot agency level of the central character,agents,ordinal,28.0,37.0,9.0,'mostly active': human 28% vs AI 37%,9.0
AGENT_ROLE_004,Use of collective human groups as agents,agents,binary,33.0,28.0,-5.0,'yes': human 33% vs AI 28%,5.0
AGENT_ROLE_005,Emphasis on social network versus solitude,agents,ordinal,16.0,30.0,14.0,'low (mostly solitary)': human 16% vs AI 30%,14.0
AGENT_ROLE_006,Functions of secondary characters,agents,multi_select,63.0,49.0,-13.0,"'flat types or foils (e.g., bullies, bureaucrats, stock relatives)': human 63% vs AI 49%",13.0
AGENT_ROLE_008,Presence of a frame narrator distinct from main actors,agents,binary,8.0,2.0,-6.0,'yes': human 8% vs AI 2%,6.0
AGENT_ROLE_009,Primary epistemic agent (who interprets the story's mysteries),agents,categorical,88.0,96.0,7.0,'central character themselves': human 88% vs AI 96%,7.0
AGENT_ATTR_001,Dominant mode of introducing the central character,agents,categorical,30.0,52.0,22.0,'external description (appearance/background summary)': human 30% vs AI 52%,22.0
AGENT_ATTR_002,Richness of physical description for the central character,agents,ordinal,89.0,92.0,3.0,'sparse (1-2 brief details)': human 89% vs AI 92%,3.0
AGENT_ATTR_003,Social identity anchors for the central character,agents,multi_select,60.0,56.0,-4.0,"'family roles (e.g., mother, son, aunt)': human 60% vs AI 56%",4.0
AGENT_ATTR_004,Explicit trait labeling,agents,binary,58.0,71.0,13.0,'yes': human 58% vs AI 71%,13.0
AGENT_ATTR_005,Primary technique for rendering inner life,agents,categorical,42.0,50.0,8.0,'free indirect discourse (3rd person blending narrator and character voice)': human 42% vs AI 50%,8.0
AGENT_ATTR_006,Psychological depth scale for central character,agents,scale,3.45,3.67,0.21,mean human 3.45 vs AI 3.67,0.21
AGENT_ATTR_009,Closure of central character's psychological arc,agents,binary,85.0,94.0,9.0,'yes': human 85% vs AI 94%,9.0
AGENT_ATTR_008,Staggered vs. batch introduction of core cast,agents,binary,26.0,37.0,11.0,'batch introduction early in the story': human 26% vs AI 37%,11.0
AGENT_EMO_009,Dominant mode of emotional expression,agents,categorical,39.0,81.0,42.0,'embodied_sensations_and_metaphors': human 39% vs AI 81%,42.0
AGENT_EMO_012,Preferred cues for conveying emotional state,agents,multi_select,47.0,87.0,40.0,"'metaphorical or environmental mirroring (weather, setting, or images echoing mood)': human 47% vs AI 87%",40.0
AGENT_MOT_003,Dominant sources of motivation,agents,multi_select,34.0,49.0,15.0,'ethical or ideological principles': human 34% vs AI 49%,15.0
AGENT_MOT_004,Evolution of motivations over time,agents,binary,59.0,70.0,11.0,'yes': human 59% vs AI 70%,11.0
AGENT_MOT_011,Explicitness of character motivations,agents,ordinal,52.0,66.0,14.0,'occasionally_stated_internally': human 52% vs AI 66%,14.0
AGENT_MOT_012,Typical motivation domains for major characters,agents,multi_select,35.0,52.0,17.0,'ideological_or_moral_commitments': human 35% vs AI 52%,17.0
AGENT_MOT_014,Complexity of protagonist motivation,agents,ordinal,54.0,60.0,6.0,'conflicted or ambivalent motives are central (the protagonist is pulled in opposing directions)': human 54% vs AI 60%,6.0
AGENT_MOT_016,Dominant type of protagonist change,agents,categorical,62.0,71.0,9.0,"'psychological self-understanding (e.g., insight into self, trauma, desires)': human 62% vs AI 71%",9.0
AGENT_TRP_001,Explicit use of trope or archetype labels,agents,binary,4.0,4.0,0.0,'yes': human 4% vs AI 4%,0.0
AGENT_TRP_002,Archetypal register of the central character,agents,categorical,63.0,65.0,2.0,'mostly mimetic/realist individual (everyday realism)': human 63% vs AI 65%,2.0
AGENT_TRP_003,Subversion or reinforcement of archetype,agents,categorical,91.0,94.0,3.0,'partial complication/nuancing of archetype': human 91% vs AI 94%,3.0
AGENT_TRP_005,Degree of personifying institutions or systems as characters,agents,ordinal,77.0,67.0,-10.0,'not personified': human 77% vs AI 67%,10.0
AGENT_TRP_014,Stance toward genre archetypes,agents,categorical,5.0,3.0,-2.0,'mostly_subverts_or_critiques_archetypes': human 5% vs AI 3%,2.0
AGENT_ROLE_015,Configuration of primary plot-driving agents,agents,categorical,78.0,80.0,2.0,'single_central_protagonist': human 78% vs AI 80%,2.0
AGENT_ROLE_016,Agency of secondary characters,agents,ordinal,13.0,16.0,3.0,'minimal_mostly_reactive_helpers_or_obstacles': human 13% vs AI 16%,3.0
AGENT_ROLE_017,Nature of antagonistic force,agents,categorical,23.0,19.0,-4.0,'singular_antagonist_with_little_interiority': human 23% vs AI 19%,4.0
AGENT_ROLE_018,Complexity of modeled social network,agents,ordinal,19.0,35.0,16.0,'very_simple_few_relationships': human 19% vs AI 35%,16.0
AGENT_ATTR_019,Intergenerational relationships as core engine,agents,binary,56.0,60.0,5.0,'no': human 56% vs AI 60%,5.0
AGENT_ATTR_021,Dominant trajectories of main character change,agents,multi_select,30.0,45.0,16.0,'moral_learning_or_increased_empathy': human 30% vs AI 45%,16.0
AGENT_ATTR_024,Density of figurative language in character depiction,agents,scale,3.06,3.78,0.71,mean human 3.06 vs AI 3.78,0.71
AGENT_ID_022,Presence of meta- or non-diegetic agents,agents,binary,97.0,99.0,2.0,'no': human 97% vs AI 99%,2.0
AGENT_ATTR_010,Dominant technique for rendering interiority,agents,categorical,42.0,54.0,12.0,'close or free indirect third-person (narrator's voice blends with a character's thoughts)': human 42% vs AI 54%,12.0
AGENT_ID_024,Number of distinct internal POVs,agents,categorical,79.0,91.0,11.0,'one POV character': human 79% vs AI 91%,11.0
AGENT_TRP_018,Reliance on genre archetypes for main characters,agents,categorical,56.0,60.0,4.0,'medium: protagonists clearly echo genre archetypes but also complicate or subvert them': human 56% vs AI 60%,4.0
AGENT_ROLE_019,Primary locus of plot-driving agency,agents,categorical,27.0,21.0,-6.0,'shared among multiple human characters (ensemble agency)': human 27% vs AI 21%,6.0
AGENT_ROLE_020,Protagonist initiative vs. reactivity,agents,ordinal,13.0,14.0,2.0,'mostly initiates key actions and decisions': human 13% vs AI 14%,2.0
AGENT_ID_023,Prominence of collectives as agents,agents,categorical,31.0,29.0,-2.0,'present but background (collectives mentioned but rarely act as unified agents)': human 31% vs AI 29%,2.0
AGENT_ROLE_021,Social network richness around the protagonist,agents,ordinal,18.0,33.0,16.0,'minimal: few close relationships shown (1–2 recurring connections)': human 18% vs AI 33%,16.0
AGENT_EMO_001,Frequency of explicit emotion naming,agents,ordinal,71.0,91.0,19.0,'occasional': human 71% vs AI 91%,19.0
AGENT_EMO_002,Modes of conveying the central character's emotions,agents,multi_select,50.0,89.0,39.0,'metaphorical or environmental imagery reflecting mood': human 50% vs AI 89%,39.0
AGENT_EMO_003,Complexity of emotional arc,agents,ordinal,43.0,34.0,-8.0,'some distinct shifts': human 43% vs AI 34%,8.0
AGENT_EMO_004,Presence of explicit emotional self-reflection,agents,binary,14.0,8.0,-6.0,'no': human 14% vs AI 8%,6.0
SOC_STR_001,Size of Social Network,social_networks,ordinal,42.0,60.0,18.0,'small_3_4': human 42% vs AI 60%,18.0
SOC_STR_010,Individualization of Community,social_networks,categorical,43.0,34.0,-9.0,'mix_of_named_individuals_and_collective_masses': human 43% vs AI 34%,9.0
SOC_STR_017,Dyadic vs Group Scene Emphasis,social_networks,scale,1.93,1.78,-0.15,mean human 1.93 vs AI 1.78,0.15
SOC_STR_002,Network Density of Side-to-Side Ties,social_networks,categorical,54.0,71.0,18.0,'hub_and_spoke': human 54% vs AI 71%,18.0
SOC_STR_003,Institutions as Social Actors,social_networks,binary,49.0,49.0,0.0,"'yes: at least one institution/collective is personified as having ties, goals, or conflicts': human 49% vs AI 49%",0.0
SOC_STR_004,Community Salience,social_networks,categorical,49.0,46.0,-3.0,"'active secondary agent: community exerts pressure, offers help, or significantly shapes outcomes': human 49% vs AI 46%",3.0
SOC_STR_005,Cross-Boundary Relationships,social_networks,binary,26.0,26.0,1.0,'no: all meaningful ties are within a single social stratum or kind': human 26% vs AI 26%,1.0
SOC_REL_004,Explicit Enumeration vs Enacted Interaction,social_networks,categorical,75.0,83.0,8.0,'predominantly_enacted_in_scenes': human 75% vs AI 83%,8.0
SOC_REL_013,Diversity of Communication Channels,social_networks,multi_select,26.0,30.0,5.0,'letters_notes_or_diaries': human 26% vs AI 30%,5.0
SOC_REL_016,Reliance on Relationship Labels vs Inference,social_networks,ordinal,4.0,8.0,4.0,'mostly_inferred_from_behavior': human 4% vs AI 8%,4.0
SOC_REL_005,Depth of Relational History Provided,social_networks,ordinal,9.0,11.0,2.0,'none_or_minimal': human 9% vs AI 11%,2.0
SOC_REL_006,Centrality of Non-Human or Technological Relationships,social_networks,ordinal,22.0,29.0,7.0,'primary_axis_of_story': human 22% vs AI 29%,7.0
SOC_REL_014,Ontological Layers of Social Relations,social_networks,multi_select,23.0,14.0,-9.0,'explicit_meta_relationship_to_narrator_reader_or_story_system': human 23% vs AI 14%,9.0
SOC_REL_007,Range of Relationship Types Present,social_networks,multi_select,48.0,30.0,-18.0,'romantic_or_sexual': human 48% vs AI 30%,18.0
SOC_REL_009,Prominence of Non-Human or Institutional Relationship Partners,social_networks,ordinal,22.0,29.0,7.0,'central_to_core_relationships': human 22% vs AI 29%,7.0
SOC_REL_008,Show vs Tell in Relationship Construction,social_networks,scale,3.74,3.84,0.1,mean human 3.74 vs AI 3.84,0.1
SOC_REL_010,Network Description Style,social_networks,categorical,11.0,16.0,5.0,'scene-implied: relationships are inferred from scenes and dialogue without explicit listing or labeling': human 11% vs AI 16%,5.0
SOC_DYN_010,Dominant Power Structure Form,social_networks,categorical,33.0,29.0,-4.0,'shifting_or_contested': human 33% vs AI 29%,4.0
SOC_DYN_012,Centrality of Abusive or Manipulative Asymmetric Ties,social_networks,binary,53.0,48.0,-4.0,'yes': human 53% vs AI 48%,4.0
SOC_PWR_015,Attitude Toward Authority Structures,social_networks,categorical,7.0,13.0,6.0,"'subversive: protagonists consciously work to undermine, escape, or overturn authority structures': human 7% vs AI 13%",6.0
SOC_PWR_016,Presence of Broker/Bridge Characters,social_networks,binary,45.0,40.0,-5.0,'no: no clear bridging figure; groups relate directly or not at all': human 45% vs AI 40%,5.0
SOC_DYN_011,Central Relationship Trajectory,social_networks,categorical,18.0,29.0,11.0,'strengthening/repair: an existing strained or modest bond deepens or is healed': human 18% vs AI 29%,11.0
SOC_DYN_013,Primary Trajectory of Central Relationship(s),social_networks,categorical,19.0,31.0,12.0,'strengthening_or_reconciliation': human 19% vs AI 31%,12.0
SOC_DYN_014,Number of Major Relationship Turning Points,social_networks,ordinal,52.0,57.0,5.0,'two': human 52% vs AI 57%,5.0
SOC_STR_016,Salience of Broader Community Beyond Core Characters,social_networks,ordinal,14.0,21.0,8.0,'background_mentioned_only': human 14% vs AI 21%,8.0
SOC_STR_018,Crowds or Mobs as Coherent Agents,social_networks,binary,28.0,24.0,-4.0,'yes': human 28% vs AI 24%,4.0
SOC_DYN_019,Dominant Interpersonal Conflict Modality,social_networks,categorical,57.0,48.0,-9.0,'open_confrontation': human 57% vs AI 48%,9.0
SOC_DYN_020,Violence Within Close Relationships,social_networks,binary,45.0,34.0,-10.0,'yes': human 45% vs AI 34%,10.0
SOC_DYN_021,On-Page Reconciliation or Forgiveness,social_networks,categorical,61.0,48.0,-13.0,'no_reconciliation': human 61% vs AI 48%,13.0
SOC_REL_022,Primary Channel for Deep Relational Content,social_networks,categorical,51.0,54.0,3.0,'shared_actions_and_routines': human 51% vs AI 54%,3.0
SOC_REL_023,Presence of Ritualized or Coded Communication,social_networks,binary,51.0,56.0,5.0,'yes': human 51% vs AI 56%,5.0
SOC_REL_024,Narrative Frame as Social Interaction,social_networks,binary,92.0,98.0,6.0,'no': human 92% vs AI 98%,6.0
SOC_COM_017,Dominant Channel for Pivotal Interactions,social_networks,categorical,41.0,46.0,5.0,"'ritual/action/gesture (shared labour, offerings, performances, nonverbal acts)': human 41% vs AI 46%",5.0
SOC_COM_018,Collective or Choral Voices,social_networks,binary,95.0,97.0,2.0,'no: narration and focalization stay with individuals only': human 95% vs AI 97%,2.0
SOC_DYN_007,Explicitness of Hierarchy and Authority,social_networks,ordinal,4.0,7.0,3.0,'minimal_or_flat_relations': human 4% vs AI 7%,3.0
SOC_REL_012,Role of Gossip and Rumor,social_networks,binary,50.0,42.0,-8.0,'salient_gossip_or_rumor_dynamics': human 50% vs AI 42%,8.0
SOC_REL_018,Power Symmetry in Central Relationship,social_networks,categorical,40.0,36.0,-4.0,'moderately_asymmetric': human 40% vs AI 36%,4.0
SOC_DYN_008,Protagonist's Social Trajectory,social_networks,categorical,40.0,34.0,-6.0,'network_contracts_or_leads_to_isolation': human 40% vs AI 34%,6.0
SOC_DYN_009,Degree of Relationship Transformation,social_networks,ordinal,57.0,65.0,8.0,'one_major_transformation': human 57% vs AI 65%,8.0
